32210685	32210685
31357159	31357159
10793332	10793332
31837637	31837637
21096032	21096032
27424172	27424172
11274904	11274904
32750631	32750631
34763217	34763217
20138386	20138386
31275106	31275106
30403188	30403188
33597262	33597262
29188743	29188743
20626225	20626225
25569901	25569901
10082179	10082179
33497335	33497335
33091645	33091645
31187083	31187083
33271340	33271340
33371627	33371627
17385638	17385638
32174322	32174322
34912710	34912710
25915965	25915965
33937838	33937838
21216696	21216696
33018190	33018190
34811930	34811930
33676728	33676728
32555006	32555006
34609913	34609913
18051190	18051190
34971530	34971530
21571586	21571586
33225305	33225305
33421645	33421645
17998832	17998832
31683144	31683144
28489018	28489018
30786344	30786344
31734325	31734325
28741810	28741810
27208524	27208524
34453413	34453413
35199060	35199060
30921550	30921550
24109856	24109856
21525569	21525569
32674041	32674041
12074779	12074779
18002235	18002235
31729112	31729112
25923676	25923676
30471319	30471319
34161233	34161233
34401475	34401475
34663762	34663762
33018954	33018954
32580054	32580054
23490369	23490369
31328849	31328849
34042194	34042194
34891477	34891477
35004892	35004892
16294722	16294722
30340095	30340095
34892564	34892564
31918953	31918953
34534893	34534893
32396105	32396105
24111228	24111228
31794404	31794404
33238060	33238060
34844219	34844219
34247135	34247135
34483791	34483791
33003163	33003163
35168083	35168083
17946650	17946650
30441177	30441177
22871899	22871899
25374454	25374454
10740781	10740781
34882644	34882644
18003564	18003564
17281742	17281742
31468702	31468702
16915007	16915007
32657917	32657917
33018205	33018205
33977135	33977135
34163525	34163525
33745755	33745755
33979466	33979466
30942731	30942731
21347081	21347081
34894969	34894969
33090373	33090373
22726974	22726974
34899827	34899827
29452575	29452575
31699547	31699547
33410568	33410568
28813977	28813977
19162603	19162603
24235113	24235113
30723450	30723450
30770234	30770234
34032690	34032690
33338907	33338907
10699563	10699563
34892754	34892754
34059213	34059213
35239622	35239622
28936494	28936494
30977601	30977601
33760269	33760269
12485787	12485787
30440972	30440972
25303113	25303113
18002966	18002966
32222482	32222482
34655259	34655259
21096614	21096614
32135317	32135317
28287993	28287993
32741529	32741529
33329041	33329041
35003334	35003334
25576588	25576588
34786091	34786091
35108944	35108944
22254260	22254260
22927119	22927119
29877855	29877855
34513940	34513940
33812727	33812727
29249342	29249342
34062633	34062633
34383209	34383209
34148298	34148298
31196475	31196475
21035741	21035741
22019883	22019883
31205280	31205280
26423562	26423562
29060501	29060501
30441437	30441437
33665831	33665831
28551556	28551556
17044181	17044181
32640059	32640059
32347137	32347137
33961552	33961552
32274431	32274431
30348356	30348356
32755754	32755754
32589588	32589588
34477126	34477126
34149500	34149500
34171311	34171311
31389839	31389839
25576196	25576196
32287025	32287025
34365841	34365841
24376080	24376080
33665087	33665087
32198848	32198848
35247546	35247546
32027027	32027027
25720034	25720034
34756670	34756670
35066445	35066445
32489227	32489227
34912716	34912716
23366369	23366369
16706378	16706378
23366365	23366365
30261823	30261823
31425126	31425126
24011972	24011972
35003830	35003830
